"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "Database", "JavaScript", "HTTP", "comment", "blank", "total"
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 23, 1, 26
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\.prettierrc", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\README.md", "Markdown", 0, 0, 0, 51, 0, 0, 0, 2, 21, 74
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\db.sqlite", "Database", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\nest-cli.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\package-lock.json", "JSON", 22007, 0, 0, 0, 0, 0, 0, 0, 1, 22008
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\package.json", "JSON", 72, 0, 0, 0, 0, 0, 0, 6, 0, 78
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\app.controller.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\app.controller.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\app.module.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\app.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\guards\auth.guard.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\interceptors\serialize.interceptor.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\main.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\report.entity.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\reports.controller.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\reports.controller.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\reports.module.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\reports.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\reports\reports.service.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\auth.service.spec.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 1, 13, 87
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\auth.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 7, 14, 57
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\decorators\current-user.decorator.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\dtos\create-user.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\dtos\update-user.dto.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\dtos\user.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\interceptors\current-user.interceptor.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\requests.http", "HTTP", 0, 0, 0, 0, 0, 0, 22, 8, 19, 49
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\user.entity.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\users.controller.spec.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 4, 12, 88
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\users.controller.ts", "TypeScript", 0, 0, 71, 0, 0, 0, 0, 0, 10, 81
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\users.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\users.service.spec.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\src\users\users.service.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\test\app.e2e-spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\test\jest-e2e.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\tsconfig.build.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 2, 0, 5
"c:\Users\tugs-erdene.o\Desktop\tugsuu\nest\mycvRepo\mycv\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 22100, 21, 583, 51, 5, 2, 22, 53, 179, 23016
